Capverdian Creole,Portuguese,English
"Mim tem tmá ote prespetiva, e ma tud gent mesm","Eu vou tomar uma outra perspetiva, e com toda gente mesmo",
Ja ene dem dada nhes troboi pront p mas ninguem,Já não tem a entrega dos meus trabalhos prontos para ninguém,
"Kem kizer m tral um duvida ou k ou mas, apartir dai mas nada","Quem quiser que eu lhe tire algumas dúvidas e que ou mais, a partir daí mais nada",
Ja mim tem ser tabua d socorro d mas ninguem mesm,Já não vou ser tabúa de socorro de mais ninguém mesmo,
Astantas bô t xtod ê t prejudica bô mesm,Chega um ponto tu estás a prejudicar a ti mesmo,
Exatamente...,Exatamente...,
kes fala kel dá gent...,As conversas que ele nos disse...,
Não so mod kel la,Não só por isso,
Mim um totxá k se ene era dá nhe traboi p otes pessoa um podia ter mas nota,Eu defendo que se eu não entregasse os meus trabalhos para outras pessoas eu poderia ter muito mais nota,
Iss,Isso,
"Tip mim passa tud nha semestre t kre p traz e p frent. T mata mim mesm la n escola d plomanha a detard p depos bem envia nha relatorio pront, p um psoa bei faze dceu e einda el t fazel igual","Tipo eu passei todo o meu semestre a correr para trź e para frente. A matar a mim mesmo ai na escola de manhã à noite para depois ir enviar o meu relatório pronto, para outra pessoa ir fazer o seu e ainda ele faz igual ao meu",
Einda depos bô t fca penalizod,E ainda depois tu ficas penalizado,
"Tem maltas ê k t esforça pá nada, e kre so otxá tud pront, e iss tite vale p tud gent","Tem um pessoal que não esforça para nada, e querem encontrar tudo pronto, e isso está a valer para todo gente",
Desd d la d primer one até nos,Desde o primeiro ano até nós,
Já ene mas facilitada ninguem mesm,Já não tem mais facilidades para ninguém mesmo,
"Mim prop tem maltas la na sala k nunca fala ma mim dret, ma nes ultimos traboi es t mandame mensagem p envias cosa","Eu mesma, tem pessoas ai na sala que nunca falaram comigo como deve ser, mas nos últimos trabalhos eles me enviaram mensagens para lhes enviar coisas",
"E mim nem pogod mesm, mas nada apartir de agora","E eu nem pago mesmo, mas nada a partir de agora",
Tabom tem k para kes cosa ê gora,"Já basta, tenho que parar com essas coisas é agora",
"Única ajuda ktite sei d mim gora e so opiniões d como faze p kem kizer, mas nd","A única ajuda que vai sair de mim agora são só opiniões de como fazer para quem quiser, e mais nada",
Mim es fala de profesor doeme prop,Para mim estas conversas do professor me magoaram muito mesmo,
Quart one cada um já tem k xtod t pode vende s pexe,No quarto ano cada um tem de estar a poder ver o seu peixe,
"Sim, e depos bô t fca penalizod e bô t tmá mesma nota k tud gent e k copia n bo","Sim, e depois tu ficas penalizado e tu tomas a mesma nota igual a quem copiou em ti",
Prop dvera,Mesmo verdade,
Totxá k es maltas ê k passa so cupiód ne relatório d gent consciências t pesas,Eu acho que o pessoal que transitou só copiando nos relatórios dos outros a consciência lhes pesa,
"Mim nem kre sebe, já mim ene dem haver...","Eu nem quero saber, já não tenho nada haver...",
"Tud n vida ê p servi d liçao, já m prende kel minha, cabe a cada um ebri oi","Tudo na vida é para servir de lição, eu já aprendi a minha, cabe a cada um abrir os seus olhos",
"Mim també jame prend, bo t faze bem. Bô dem fala n email?","Eu também já aprendi, tu fazes bem. To me chamaste no email.",
"Era p perguntob sobre kel cosa k Paulo tava t dze, se bô djga fazel","Era para perguntar sobre o assunto que o Paulo estava a dizer, se já o chegaste a fazer",
Kual mesm?,Qual mesmo?,
kel la d xcola,O de lá da escola,
"T xtod n troboi n um empresa, ntom mim dive temp t dei t la","Estou a trabalhar em uma empresa, então eu não tive tempo de ir até aí",
"M bei 1, 2 dia, mas depos já mim ene consegui bei mas","Eu foi 1, 2 dias, mas depois eu já consegui ir mais",
"Hum ok, mim també t xtod ne traboi, e um tava sem móvel por iss k dzeb nada","Humm ok, eu também me encontro a trabalhar, e estava sem telemóvel por isso que não te disse nada",
Bô t n job d oke? Dent d nos aria?,Que tipo de trabalho estas? Dentro da nossa área?,
T xtod so t faze uns troboi d limpeza,Eu ando a fazer só alguns trabalhos de limpeza,
Mim t xtod n um dent d aria d dzenvolvimento,Eu ando em um dentro da área de desenvolvimento,
Bô t continua cond no bá p escola?,Tu irás continuar quando formos para a escola?,
Sim m t trebaia fix,Sim eu trabalho fixo,
E kond bô t kmessa t bá p escola?,E quando é que tu começas a ir para a escola?,
"T k ideia d passa la segunda, e bô?","Tenho ideia de passar aí na segunda, e tu?",
"Mim k sabe einda, t xperas pó horário","Eu não sei ainda, estou a espera de colocarem os horários",
Sim mim també,Sim eu também,
Tite bei mes so p pode matrícula e pedi kes papel la,Eu vou mais para poder matricular e pedir os papéis aí,
"Mim també tem k bá pedis, já k es t passa kel x temp p entregas","EU também tenho de os ir pedir, já que eles passam x tempo para os entregar",
"Sim por iss k m t bei la segunda, e matrícula t fetxá dia 6, depos k el t torna bei ebri","Sim por isso que vou ai na segunda, e a matrícula fecha no dia 6, depois que ele se abrirá de novo",
"Porra, ma ess one es faze semana académica mut ced","Pora, mas este ano eles fizeram a semana académica muito cedo",
"M otxel gosterdia, el dze es t kmeça ced p pode normaliza one letive","Eu o encontrei a dias, ele disse que eles estão a começar mais cedo para poder normalizar o ano letivo",
nó tmá féria mes terd,nós tivemos férias mais tarde,
Ma na mesm maltas t soma la p escola so ot semana,Mas na mesma o pessoal irá aparecer só ai para a próxima semana,
"Mim també kel k ideia, ou cond es po horario","Essa é a ideia para mim também, ou quando eles colocarem os horários",
"Ess one no t tem um horario mei xtronhe, plomanha e deterd...","Este ano nós temos um horário meio estranho, de manhã e à tarde...",
Sim mim t xperas po horário,Sim eu estou a espera deles colocarem os horários,
Bô primer psoa k m tite fala d la d sala já tem uns mes,Tu és a primeira pessoa que estou a falar ai da sala já tem uns meses,
"Como assim? A ê, mim també já fala so ma bô","Como assim? Ah sim, eu também já falei só contigo",
Maltas d sala t fala so n temp de aula,O pessoal da sala só conversam em tempos de aula,
Tem dia no t tem uns aula plamanha ma kes mnine d tercer one,"Tem dias que temos aulas de manhã, com os meninos do terceiro ano",
Um pensa ess one li k tinha ess muf la...,Eu pensei que este ano não tinha essa história aí...,
"Tem sim, Sidney k dzem essim...","Tem sim, o Sidney que me disse...",
bô t txem sebe s es po horário dfavor,Notifica-me se eles colocarem o horário por favor,
"yh fca kul ntom, manha bô tite bei t xcola?","Yh fica bem então, amanhã tu irás até a escola?",
mim tem k bei t la,eu tenho de ir até aí,
Manha um tite bá tmá vacina de COVID,Amanhã eu irei tomar a vacina da COVID,
mim já ta kes dos,Eu já tomei os dois,
Mim ê capaz de bá p escola so quarta ou quinta,Eu sou capaz de ir para a escola só na quarta eu na quinta,
"no t oia, já bô sabe...","Nós nos vemos, já sabes...",
"Se tiver algum disciplina p faze grupo, bsot incluime la please","Se tiver alguma disciplina para fazer grupos, vocês me inclui aí please",
"mim ma bô d group sempre, bô ene tem treim nes último one nem...","Eu e tu somos de grupo sempre, tu não irás me trair neste último ano, pois não...",
klar k não...,claro que não...,
Manera k foi aoje? Nada d aula?,Como foi hoje? Nada de aulas?,
"Bem provável k mnha sejá mesm cosa, ma n mesm t k ideia d bei.","Bem provável que amanhã seja a mesma coisa, mas na mesma estou com ideia de ir.",
Yh kualker cosa interessant bô t txáme sabe,Yh qualquer coisa de interessante tu me deixas saber,
"go no t k bom group, Txoba k gosta nada, nada...","Agora nós estamos com um bom grupo, o Txoba não gostou nada, nada...",
"El dze k bzot pode dame um pé na bunda, kkk","Ele disse que nós podemos lhe dar um pé na bunda, kkk",
"ma mim p nha xperiencia k m tive ma el, tabom, el sebe","Mas eu pela experiência que tive com ele, está bom, ele sabe",
Ma ê bá dvagar nem,Mas é ir devagar nem,
"mim t descontra, nada haver mesm, descontra prop...","eu estou relaxado, nada haver mesmo, descontra mesmo...",
"So faze nos job, no t mes duki descontra mesm","Só fazer o nosso trabalho, nós estamos mais do que relaxados",
E manera k no tite bá tmá kes slide d hoje?,E como vamos fazer para pegar os slides de hoje?,
"iss k m kre sebe mesm, se no oial manha no t dal fala","isso que eu quero saber mesmo, se nós o virmos amanhã o diremos assim",
No tem k faze kel muf de 500 palavra,Nós temos que fazer aquela coisa de 500 palavras,
fca kul ntom,fica bem então,
Yh t manha,Yh até amanhã,
manham no t fala ntom,amanhã nós falamos então,
"M t xkece m tem uns updates p bo, kond no sei d aula","Eu esqueci que tenho alguns updates para ti, quando tivermos a sair da aula",
Ess bô tite dedikem el nem kkkkk,Este tu o estás e dedicar para mim nem kkkk,
"Bô k dod kkk, bô log lembra n mim cond bô oia ess meme","Tu é que és doida kkk, tu logo lembras te em mim quando tu viste este meme",
"Um lembra k se uns ote pssoa tava intend de programação, bô era bem capaz de dze isso.","Eu lembrei que se algumas outras pessoas entendessem de programação, tu eras capaz de dizer isso.",
"Ma ene bem essim kkk, cada um k ses motive","Mas não é bem assim kkk, cada um com os seus motivos",
"Bô sebe, onoh...","Tu sabes, ou não...",
Pelo menos ate dond k der,Pelo menos até quando der,
Próximo one bô t trá ess restrição,No próximo ano tu retiras esta restrição,
"ai já ote assunt, t la já t xtod k mier","aí já é outro assunto, até aí já estarei com uma mulher",
"ah ê, tem k ser","ah é, tem que ser",
"M dzel essim, sobre uke k já bô sebe","Eu lhe disse assim, sobre o que já sabes",
"El fca fria, nem fala ma mim dret","Ela ficou fria, nem fala como mais de forma correta",
Ma també bô tinha k esplical dret nem,Mas também tu tinhas que a explicar muito bem nem,
Ma m xplikel,Mas eu expliquei,
"M fca xat, mas m xplikel super dret","Eu fiquei incomodado, mas eu expliquei super bem",
Kuitada,coitada,
"Mim ene d pode sonia, el dze um balde d agua frio","Eu não consigo Sonia, ela disse um balde de água fria",
"D fact, ma mior ser agora doki depos","De facto, mas melhor agora do que depois",
Dvera,Verdade,
"Adeh depos pior, ela t surpreendem","Pois depois é pior, ele me surpreendeu",
"el dze el ene d dsisti, m gosta diss, d manera k el t xtrai um cosa bom dum situação não tão bom","ela disse que não vai desistir, eu gostei disso, da forma como ela extrai uma coisa boa de uma situação não tão bom",
Mut intetresse envolvid,Muito interesse envolvido,
Pelo menos el k usa kel balde d agua fria p dsisti d c objetivo,Pelo menos ela não utilizou o balde de água frio para desistir dos seus objetivos,
jam kmeça t preocupa,já comecei a me preocupar,
Inda ta ced p preocupa moss,Ainda está cedo para se preocupar rapaz,
manha no t fala sobre iss,amanhã nós falamos sobre isso,
tem pensa oke k m t faze k iss,tenho de pensar o que eu vou fazer com isso,
Bô meste digeri ess informação,Tu precisas digerir essa informação,
um broda d meu d Santo Antão pta um gaz ess praga,um amigo meu de Santo Antão que me deitou essa praga,
"m tem k pensa dret, k s não t faze asnera","tenho que pensar bem, porque se não faço asneira",
"Nada k kel fema, k ote psoa","Nada sobre aquela miúda, com outra pessoa",
falta nos faze so um so d kes troboi p termina e já no t pront,Falta Nos fazer só um só dos trabalhos para terminal e já estaremos prontos,
mim ma Rafa uns merda,eu e o Rafa somos uns merdas,
kel de Reinforcement Learning,o de Reinforcement Learning,
"Bzot t bá xplicame tud tud, p cond profesor pergunta","vocês vão me explicar tudo tudo, para quando o professor perguntar",
ma pelo menos ess ei já esta,mas pelo menos este aqui já está,
"Roberto, mim k tite consegui po um sinal ""="" ne Latex","Roberto, eu não estou a conseguir colocar um sinal ""="" em Latex",
"Latex? Dess hora, man?","Látex? Desta hora, rapaz?",
Se bzot tiver ele ne GitHub bzot partihal ma mim,"Se vocês o tiverem no GitHub, partilhem comigo",
preke Latex dess hora?,para que Latex desta hora?,
"ma bô ê d kel organização, ntom bô t pode oiel","mas tu és da organização, então tu consegues o ver",
"no tel privod, ma bô t pode oiel","nós o temos em privado, mas tu o consegues ver",
"kel mim ene sebe mokem, manha no t xpiel","aquilo eu não sei porque, amanhã nós o vemos",
m t pode bei p xcola so depos de 12,eu consigo ir para a escola só depois das 12,
10 hora já da,10 horas já deu,
go k no tite bem reduzil,agora que nós o vamos reduzir,
tava t isda Rafa treze ses cosa,estava a ajudar o Rafa a trazer as suas coisas,
"Ma, bzot pertilha kel Doc ma mim p m bá t xpia també","Mas, partilhem o Doc comigo para eu ir vendo também",
Já ta,Já está,
já m tite bei kmeça t fazel,já o vou começar a fazer,
Po kel template k bô tava t mostra kel hora,Coloca o template que tu estavas e me mostrar aquela hora,
"jam t bei pol, tei so t tmá um chá","já o vou colocar, estou aqui só a tomar um chá",
E flertando!!,E flertando!!,
mim nunca m faze iss,eu nunca fiz isso,
ale nhes menssagens la bô oia,lê as minhas mensagens ai para tu veres,
K t k temp,Não estou com tempo,
"ok, já no tite bem pta mom","ok, já vamos começar a colocar a mão",
Mandame kel cosa d Firewall dfavor,Envia-me aquela coisa do Firewall por favor,
"Bom dia, lembra ne bá p escola 1 hora","Bom dia, lembra-te de ir a escola as 1 hora",
"Ess li no dal  dpox de Navtex, onon?","Este aqui nós o demos depois do Navtex, ou não?",
Um mestia so kel aula 5,Eu precisava só dá aula 5,
"Preporod, lógico k não...","Preparado, lógico que não...",
Gora k m tite prepara kkkk,Agora que eu estou a me preparar kkkk,
Kkkkkk,kkkkkk,
Sonia???,Sonia???,
Bô sebe uke k tio Lau perguntem hoje?,Tu sabes o que o tio Lau me perguntou hoje?,
"dzem lá, patxá tou curiosa","diz-me ai, despacha-te estou curiosa",
"El dze des d segund one nos dos tud colod, s mim ma bô ene dem nada lá à mes...","Ele disse que desde o segundo ano nós dois somos bem colados, se eu e tu não temos nada a mais aí...",
Txame erri diab...,Deixa-me rir diabo...,
Ki k bô respondel?,O que é que tu o respondeste?,
M dzel nos so emig e colegas kkkk,Eu o disse que nós somos só amigos e colegas kkkk,
Ki k c intensão!!!,O que é que é a sua intenção!!!,
"So el perguntem, mediant um conversa sobre mier k no tava t tem","Ele só me perguntou, mediante uma conversa sobre mulheres que nós estávamos a ter",
Interessant,Interessante,
"Sonia, mim ma bô ene dá da cert, megina hahaha.","Sonia, eu e tu não ia dar certo, imagina hahaha",
Bô t kre manda n mim so essim,Tu já queres mandar em mim só assim,
Manda na bô diab,Mandar em ti diabo,
Sim bô ene d dá fe kkk,"Sim, tu não dás por isso kkk",
"Despulpa ta, ene ê nha intensão","Desculpa tá, não é a minha intenção",
Bô dvia dze tiu Lau,Tu devias dizer ao tio Lau,
"Txam bei deta, k bô não...","Deixa-me ir deitar, que tu não...",
"Kel era mod el oiob t piskem oi, por iss","Aquilo era porque ele te viu a me piscar o olho, por isso",
"kel cosa dmeu dá erro, por iss k m tava t tenta contoctob","aquela coisa deu errado, por isso que eu estava a tentar te contactar",
Rafa txob menssagem k m tinha bô txod mensagem?,O Rafa te deixou mensagem que eu te tinha deixado mensagem?,
ma bô ene retorna,mas tu não retornarás,
"e moda kes erro de xcrita, s bô pos el ene d aceites como validos","é por causa dos erros de escrita, se tu os colocares ele não os aceita como válidos",
Txame rodal el t mandob fot d kel erro kel da,Deixa-me o rodar e te envio foto do erro que ele deu,
"kel erro lá, el ene dá nos el","aquele erro ai, ele não nos deu",
pera t oiel,espere eu o vejo,
"Mod kel k t n kel nome por iss, e també bô tinha k deleta kel ficheiro .pdf","é porque ele não está no nome por isso, e também tu tinhas que deletar o ficheiro .pdf",
Ess m dzeb essim ont,Eu te disse isso ontem,
Kel lá m dze rafa p txob menssagem,Aquilo aí eu tinha dito ao Rafa para te deixar mensagem,
E m dob tok ma bô ene responde,E eu te dei um toque mas tu não respondeste,
Jame k tem nenhum,Já não tenho nenhum,
"bô kre posta, k m tite bei otxá um lá n escola","Tu queres apostar, que eu vou encontrar um ai na escola",
K solse el ene dava dá erra,Porque se fosse ele não ia dar erro,
Bô kre no posta,Tu quieres apostar,
Ja bô xpia kes ficheiro binário,Já viste os ficheiros binários,
Ja bô xpia nome d kes ficheiro,Já viste o nome dos ficheiros,
Ess erro lá jame corrigil,Esse erro ai eu já corrigi,
Ago el tite dá ot,Agora ele está a dar outro,
k tip d erro ago?,que tipo de erro agora?,
"xtronhe, porke Rafa muda mesm coisa e el dá dret","estranho, porque o Rafa mudou a mesma coisa e ele deu corretamente",
"Lá ne escola bô t xpiame el, se bô puder","Ai na escola tu o vês por mim, se tu conseguires",
"sim no tite bei xpiel sim, bei mes ced p no pode xpiel","Sim o veremos sim, vai mais cedo para o podermos ver",
Acho k jame djga ne kel erro dbossa agora,Acho que já cheguei no erro teu agora,
El t ranca so um part de kes máquina,Ele está a arrancar só uma parte das máquinas,
Sim bô tem k paga kes lab.deb,Sim tu tens de apagar os lab.deb,
"M dzeb essim, lá n sala","Eu te disse assim, ai na sala",
Um peguel,Eu os apagei,
"Almoço tite bem dmora ei na casa, ntem no t xpia kel cosa dpox n kel furo","O almoço vai atrasar aqui em casa, então nos vemos aquela coisa depois do furo",
Ok descontra ntom,Ok relaxado então,
dem bô pass d email p m pode entra,dá-me o teu pass de email para eu poder entrar,
pode txá jam entra,pode deixar eu já entrei,
Olime,estou aqui,
m pertilha um cosa ma bô p email,eu partilhei uma coisa no teu email,
"bô tem k bei cadastra, po um fot e segui em frent","Tu tens de ir cadastrar, colocar uma foto e seguir em frente",
P uke mesm?,para que mesmo?,
já bô faze tud kel ficheiro d kes intent,tu já fizeste todos os ficheiros dos intent,
Inda não,Ainda não,
m tite fala p kel chatbot,estou a falar do chatbot,
Ah pensa bô tite fala d Jandir,Ah pensei que tu estavas a falar do Jandir,
Inda k fazel tud não...,Ainda não fiz tudo não...,
Um faze uns,Eu fiz alguns,
Kel cosa k Txoba dá nos tem so candidatura e propina,Aquela coisa que o Txoba nos deu tem só candidaturas e propinas,
"na boa, cond bô termina dzem","está bem então, quando tu terminares diz-me",
"Bô tite bá consegui isdame faze troboi de Jandir, ou nem por iss?","Tu vais conseguir me ajudar a fazer o trabalho do Jandir, ou nem por isso?",
no tem k marca um dia,nós temos que marcar um dia,
Bô t pode manha dpox de 3 hora?,Tu consegues amanhã depois das 3 horas?,
dond?,"Fica onde, mesmo?",
"k se for ei, m tem k bem pergunta tia primer","porque se for aqui, tenho que ir perguntar a tia primeiro",
Lá ne kel lugar d kel dia,Ai no lugar daquele dia,
Sei lá se ê essim k se nome,Não sei se é assim que é o seu nome,
sim no pode bei pralá,sim nós podemos ir ai,
3 hora bô t pode? K acho k lá t fetxá 6 hora.,3 horas tu podes ir? Porque acho que aí fecha às 6 horas.,
ma leva elgum cosa feit,mas leva algumas coisas feitas,
Já m t k uns tela feit,já tenho umas telas feitas,
"Pode bei ei pá casa, ene mistid bei p kel lugar","Podes vir aqui em casa, não é preciso ir naquele lugar",
M tite bei sei p bei pá cais 3 hora,Eu vou sair para ir ao cais às 3 horas,
Cond bo txega n praça txmem,Quando tu chegares na praça telefona-me,
Jame t li,Já estou aqui,
"Mi so prei infadod, casa, traboi","Eu só por aqui enfadado, casa, trabalho",
"s m bei ness féria ei, m t ranca demitod bei dob fala","se eu for nesta féria aqui, vou imediatamente ir te ver",
"s bô bem um t bé dob fala, ê só bô dzem dia","s tu vires é só me dizer e eu vou te ver, é só tu me disseres um dia",
já tem tont féria k bô t prometem iss mesm?,já tem quantas férias que me prometes isso mesmo?,
Naaa dess vez um t bé kkk,Naaa dessa vez eu vou kkk,
kre oia s sim,quero ver se sim,
"txám bem bei deta, fca dret","deixa-me ir deitar, fica bem",
bom fala ma bô d nove,bom em falar contigo de novo,
Cruja,Coruja,
Ok boa noite p bh,OK boa noite para ti,
Durmi dret,Dorme bem,
oia um emig bnita k m tem!!!,Veja uma amiga bonita que eu tenho!!!,
So na fot kkkkk,So na fot kkkkk,
T dret e bh,Estou bem e tu,
Enton sim,Então sim,
uke bô t faze?,o que estás a fazer?,
"m tei t relaxa um pkedin, p torna bem xtuda ote ves, e bô ?","eu estou aqui a relaxar um bocadinho, para voltar a estudar outra vez, e tu?",
T oia novela,estou a ver novela,
sebim,muito bom,
mim ktava gosta d xtod t oia um filme també,eu que gostava de estar a ver um filme também,
lá k bom mancarra kkk,ai com boa mancarra kkk,
"fca kul, txám bem txob, bô kizer no pode marca um hora manham no t fala mas kul","fica bem, deixa-me te deixar, se quiseres nós podemos marcar uma hora amanhã para falarmos melhor",
Enton até manhã bijim,Então até amanhã beijinhos,
ok pode ser dnoit banda d 8 hora,ok poder ser a noite por volta das 8 horas,
fca kul,fica bem,
sempre bom fala ma bo,sempre bom falar contigo,
cruja,coruja,
"bom dia, manera k bô ta?","Bom dia, como é que tu estás?",
ntom 8 hora einda t d pe?,então as 8 horas ainda está de pé?,
Yh kkkk,yh kkkk,
"boa, até lá ntom","boa, até aí então",
gordam um mancarra,guarda-me uma mancarra,
E manera k bô t tmál?,E como o vais tomar?,
pera bô tite bei sebe,espera é tu vais saber,
já bô xkece,já tu esqueceste,
Mi não,Eu não,
onde  nha mancarra?,onde está a minha mancarra?,
Einda k comprob el,Ainda não o comprei para ti,
bô t trozod ntom,tu estás atrasado então,
Bô t oia,tu estás a ver,
"sim, t xpera k bô k t traza sempre","sim, espero que tu não te atrases sempre",
k fazex?,o que estás a fazer?,
Tite isda um emiga dmeu muda d casa,Estou a ajudar uma amiga minha a mudar de casa?,
programa um tont,programar on tanto,
e m tite bei tmá nha mancarra em,e eu vou tomar a minha mancarra em,
T manhã durmi dret,Até amanhã dorme bem,
bô gordam kel mancarra? K cond m bei bô tite bei levam el,Tu guardaste-me aquela mancarra? porque quando eu for tu o irás me levar,
Cond k bô tite bem?,Quando é que tu virás?,
talvez log ness ote semana,talvez logo nesta outra semana,
bô t gordam el?,tu o dirás guardar para mim?,
Clar kkkk,Claro kkkk,
"boa jam tem dos, um n mamam e um n bô kkk","boa já tenho dois, um na minha mãe e um em ti kkk",
Bô tite pedi tud gent máncara,Tú estás a pedir a mancarra a todo gente,
"não, nha mãe já t contsem, el sebe k mim ma mancarra tem um casamente de longa data e com muito amor","não, a minha mãe já me conhece, ela sabe que eu a a mancarra temos um casamento de longa data e com muito amor",
bô k convidam p ess casamento ne,tu não me convidaste para esse casamento nem,
"foi diaza desd, d mnine mesm","foi a muito tempo, d criança mesmo",
einda nos ene dava nem contse,ainda nós nem conhecíamos,
"pera, manera k einda bô ene sebia k mim dod n mancarra?","espera, como é que ainda não sabias que eu sou doido em mancarra?",
So agora k bô dzem essim,Só agora que me estás a dizer,
"desculpam entom, k m falha como emig","desculpa-me então, porque eu falhei como amigo",
kuase tud gent k m t contsem sebe diss,quase todo gente que eu conheço sabe disso,
"Txá diss, agoh jam sebe","Deixa-te disso, agora eu já sei",
levam ma bo,leva-me contigo,
Bem kkk,Vêm kkk,
jam t n sintonton,já estou em Santo Antão,
"bô kizer dam fala kualker dia dei p frent, so dzem","se tu quiseres me visitar qualquer dia daqui para frente, só me disseres",
Manhã um t p Puva plomanha s bô Kiser bô t txi no t encontra lá,Amanhã eu vou para a Puva de manhã se tu quiseres nós poderíamos encontrar ai,
e bô ene dite bem dem fala,e tu não virás me ver,
"Yh, ma k sebe cond k um pod bé","Yh, mas não sei quando é que consigo ir",
Ma s bô consegui txi p Puva no t oia pra lá,Mas se tu conseguires descer para Puva nós nos vemos por aí,
"maiso menos tont hora, se fosse?","mais ou menos quantas horas, se fosse?",
"Tip uns 9 ou 10 hora, tite bé renova nhe cartão d sanidad","Tipo as 9 ou 10 horas, eu vou renovar o meu cartão de sanidade",
"ok, ma tont temp no tite bei fca djunt mesm?","ok, mas quanto tempo nós iremos ficar juntos mesmo?",
Tip até lá p volta de 13 hora,Tipo até aí por volta das 13 horas,
"Oi, tud dret?","Oi, tudo bom?",
kual tip d máncara bô t gosta?,qual tipo de mancarra que tu gostas?,
"oi, tud dret?","oi, tudo bom?",
"m t gosta d kes peknim, kes mancarra Pelito","eu gosto dos pequenos, as mancarras Pelito",
"axo k essim k kel marca, porke mesm??","acho que é assim que é a marca, porque mesmo??",
"oia ê mas facíl bô mandam menssagem diretamente p nha número, k m t respoende log n hora","olha é mais fácil tu enviares mensagem para o meu numero diretamente, porque eu respondo logo na hora",
"oia, dam fala ou manham, despos d manham ou sobd","olha, vêm me ver ou amanhã, ou depois de amanhã ou sábado",
T xpia s un t pod dob fala didming,Vou ver se posso ir te ver no domingo,
Porque es ot dia m tem traboi,Porque nos outros dias eu tenho trabalho,
manera kbô ta?,como é que tu estás?,
"també, k fet d bo?","também, o que é feito de ti?",
"Nada d especial so traboi, casa","Nada de especial só trabalho, casa",
oia um emiga k m tem,veja uma amiga que eu tenho,
"feia, nera","feia, não é",
"Não, completament o contrário","Não, completamente e contrário",
Manera k bô ta?,Como é que tu estás?,
t dret e bô manera?,"Estou bem, e tu como vais?",
Yh també,Yh também,
bô tem certesa k bô kre ser so nha emiga?,Tu tens a certeza que queres ser só a minha amiga?,
porque?,porque?,
responde...,responde...,
"Yh, diaza no tem nos amizad, ono?","Yh, nós temos a nossa amizade desde a muito tempo, ou não?",
Ma porque k bô pergunta?,Mas porque é que tu perguntaste?,
k um fot dess lá,porque uma foto dessas,
tem k brinca ma bô as vez p bô ene pensa k mim tud sério,tenho que brincar contigo as vezes para não pensares que eu sou todo sério,
"descontra, um sabe k brinkadera","relaxado, eu sei que é brincadeira",
M sabe k bô k ê serio,Eu sei que tu não és sério,
"mim ê sim, bô sebe","eu sou sim, tu sabes",
txá d txám n mintira mim ma bô ê emig,deixa-te de me deixar em mintira eu e tu somos amigos,
Já k bô ê nhe emig k m tem k ser realista ma bô,Já que ès meu amigo que eu tenho que ser realista contigo,
uke bô tite faze?,o que estás a fazer?,
"tava t termina um traboi, gora m bem ei dob um fala","estava a terminar um trabalho, agora eu vim aqui conversar contigo",
"Pelo menos hoje bô lembra d mi, ingrot","Pelo menos hoje tu lembraste de mim, ingrato",
"não, m t lembra sempre n bô, bô ktem bendonod","não, eu lembro sempre de ti, tu é que me tens abandonado",
"não, mim não","não, eu não",
"Mim també sempre um t lembra n bô, so k bô k t xtod mut online","eu também sempre lembro em ti, só que tu nem sempre estas online",
"yh dvera kkk, ma ene p usa iss como desculpa","yh verdade kkk, mas não é para usares isso como desculpa",
"k ê desculpa vih, não","olha não é desculpa, não",
Parabens meu bem,Parabéns meu bem,
"Txeu felicidades, love, sáud, k bô t consegui atingi tud objetivo d bô vida","Muitas felicidades, love, saúde, e que tu conseguirás atinguir todos os objetivos da tua vida",
"Continua ess mussin divertid, simpático, ess emig sem igual k bô ê","Continua esse rapaz divertido, simpático, esse amigo sem igual que tu és",
"Já bô sabe, proveita bô dia porke bô t merece","Já sabes, aproveita o teu dia porque tu mereces",
tite oia televisão e bh?,Estou a ver televisão e tu?,
tite bem programa kk,eu vou programar kkk,
Manera k foi bô dia hoje?,Como foi o teu dia hoje?,
"foi descontra, normal, e bossa manera?","Foi relaxado, normal, e o teu como foi?",
Trenkil,Bom,
ntom sim,então sim,
T manha,Até amanhã,
mim també,eu também,
"Hey, manera k bô ta?","Hey, como é que tu estás?",
m txob menssagem,eu te deixei mensagem,
Einda mi k oiel,Ainda eu não o vi,
hoje m corda k ideia n bô,hoje eu acordei com ideia em ti,
"por iss corda log t dob fala, p xpia manera k bô ta","por isso acordei logo a conversar contigo, para ver como estás?",
so m sebe k sim,so m sebe que sim,
"Ê sodade, so pode ser","É saudades, só pode ser",
bô ma es estudos?,Tu e os estudos?,
"tite bei, já bô sabe kuale","estão a ir, tu já sabes como funciona",
contam mas d bo...,conta-me mais de ti...,
diaza k nem oiob,a muito tempo que nem te vi,
"S for, t bé dob fala","se for, vou te ver nas férias grandes",
já tem 3 one k m tite xperob,já tem 3 anos que eu estou à tua espera,
ma dess vez um tite bé,mas dessa vez eu vou,
jam dzeb s bô bei t beijob pe,Já te disse que se tu fores eu te beijarei os pés,
Prepara enton k bô tite bé beijem pe,Prepara-te então que tu vais me beijar os pés,
"já m dzeb k não, k bô ene t bei","Já te disse que não, que tu não irás",
Xpera bô tite bé oia,Espera para tu veres,
"mim ene t tem problema n beijob pe, s bô bei klar","eu não vou ter problemas em te beijar os pés, se tu fores claro",
